Employee_ID,First_Name,Last_Name,Email,Phone_Number,Date_of_Birth,Address,Position,Department,Salary,SSN,Passport_Number
14925,Alicia,Lucas,douglas20@example.org,573-660-0606,1967-03-29,"0718 Wolf Key Apt. 105
Thomashaven, AZ 68455",HR Manager,HR,66338.17,441-84-5638,I58503885
96590,Jonathan,Thomas,josephbrown@example.net,001-536-777-2286x0528,1979-02-08,"473 Allison Meadows
Lake Tasha, IA 62930",Software Engineer,IT,59982.01,338-26-7090,160735585
92956,Richard,Wilson,taylor14@example.com,983.822.4507x425,1962-10-20,"206 Johnson Stream Suite 562
Lorihaven, TN 52247",Marketing Specialist,Operations,104620.47,766-60-9164,X75618169
66449,Paula,Maddox,suzannegreen@example.com,+1-897-675-0462x2661,1988-12-27,"666 Cynthia Village
Port Amanda, ID 45466",Accountant,IT,130331.48,178-33-5161,Q43340833
13193,Robert,Kim,hensleybruce@example.com,344.513.7728x5127,1962-02-20,"20881 Angela Fall
South Scottmouth, MD 03975",Software Engineer,Finance,136830.47,357-32-0596,N76132916
82902,Krista,Barnett,bhensley@example.com,(438)637-6034,1993-04-23,"49146 William Grove
West Anthonyshire, UT 77255",Data Scientist,HR,136437.52,109-68-1309,388001063
11395,John,Bush,parkerluna@example.com,(529)350-5535,1961-11-16,"86564 Gina Wells
East Vanessaside, PR 72461",Accountant,Marketing,108312.69,198-78-9821,V47217767
41832,Christina,Cooper,saragraham@example.net,+1-308-366-4533,1961-01-31,"71552 Phillips Fort
Rosalesburgh, WA 82071",Marketing Specialist,IT,94114.09,884-20-5956,J69774214
29845,Timothy,Brown,tjones@example.net,423.623.1673x7797,1960-11-22,"2882 Molly Groves Apt. 227
Emilymouth, NC 79641",Data Scientist,Operations,94173.49,432-91-1881,657312494
5729,Amber,Harris,cheryl86@example.com,+1-845-852-0303x523,1980-03-22,"3156 Rebekah Field Suite 516
Ashleyfort, MH 61746",Marketing Specialist,Finance,63178.99,681-31-8391,B18302886
81698,Jamie,Lopez,newmanjamie@example.com,(322)305-0045x51777,1994-08-31,"210 Duran Causeway
East Tiffanyside, CA 21000",Marketing Specialist,HR,114211.67,812-75-2735,988915670
33504,Linda,Martinez,jacksonhector@example.net,331.990.8190,1974-12-28,"313 Kevin Junction Apt. 267
Chadview, MS 47433",Data Scientist,HR,100676.78,315-30-7962,687297662
76735,Alicia,Johnson,lisalarson@example.net,233.442.4088x3993,1985-11-05,"83779 Miranda Station
Port David, NJ 33932",Accountant,IT,96879.5,138-82-9792,Z74105705
18653,Emily,Brown,vincentwilliams@example.net,929-705-5283x19718,1979-07-27,"2940 Molina Port
New Patrickton, OK 27719",Marketing Specialist,HR,50799.89,003-68-8752,A81664681
20043,Alicia,Thomas,david91@example.org,(659)674-9970,1991-02-02,"PSC 0595, Box 6221
APO AP 09662",Data Scientist,HR,130273.47,145-15-3973,027193103
29374,Denise,Rojas,zpierce@example.org,623-331-7308x26070,1980-07-01,"2048 Palmer Junctions
Port Coryfort, HI 33144",Data Scientist,Operations,86154.54,304-04-3817,B06175294
38993,Courtney,Jones,pagekimberly@example.org,739-660-2476,1966-05-28,"672 Haley Ridges
Lucasmouth, AK 90320",Accountant,Finance,96407.14,262-08-7614,885770790
91618,John,Garrett,rileyvincent@example.org,770-873-3828x48908,1965-07-21,"043 Debra Locks Apt. 542
Holmesport, AL 97364",Marketing Specialist,Marketing,63943.16,874-02-9331,092298503
21525,Michael,Brown,fwatkins@example.net,8922504757,1961-09-20,"22380 Davis Fields
Port Scott, MA 40505",Accountant,Marketing,73775.18,545-31-6849,B04840304
4819,Tyrone,Bautista,danielbryant@example.com,558.621.8846x1711,1992-04-09,"412 David Forge Suite 860
Cynthiahaven, AZ 22448",Software Engineer,Operations,111367.25,276-18-8829,100883055
